InstructorStrength,InstructorRecommend,CommentsOnEffective
"Clear, and concise lecture","Perhaps include a summation slide/table in the class material. I found sources on line that gave simple diagrams that showed what was happening and what symptoms are the result... this helped me a bit better than looking at real hearts. May be helpful for others if a similar slide or two was added to the lecture power point.","Ultimately this lecture was good, and I was able to effectively incorporate the material in my overall understanding of heart development."
"Personable and open to discuss many issues with the students. In lecture he works the room very effectively.",,"Still seems to be some confusion over need-to-know information regarding the material in class and then what is emphasized on the weekly quizzes."
,,"I am thrilled that this session was scheduled. I thank Dr. McCammond (and those that designed the block schedule) for adding this type of review session."
Energy,"I feel as though there is a disconnect between you and the students and I cant place my finger on it. It might be that whoever takes the Monday morning lesson block is simply going to have a disconnect with the students...",
"Dr. Nelson knows her topic and knows how to talk about it.","Slow down a little when possible. Im not so sure this is possible with our new crammed curriculum.",
,,
,,
,,
Knowledgeable,"Figure out a way to convey all of that intelligence to the students. There was a huge disconnect between you and 80% of the students in the ""small"" group. If you previously checked the things that the class had learned already vs. what you had to teach on, then you would have been able to prepare a succinct explanation of the key concepts and gotten through all of the material.",
,,
"Good teaching speed and voice","Keep it up.",
,,
,,
,,
,"I thought the anatomy practical was unreasonably difficult.  We were taught to identify structures based on their surrounding and neighboring structures.  When you cut out every surrounding structure how am I supposed to identify a given structure?  Why make anatomy more difficult than necessary, it was not like people were doing well in that course to begin with.  Furthermore, surgeons dont operate on patients missing major sections of every organ- they have the entire organ system to work with and help them identify structures.   Simply put, I felt the anatomy exam was unfairly designed.","I thought the anatomy practical was unreasonably difficult.  We were taught to identify structures based on their surrounding and neighboring structures.  When you cut out every surrounding structure how am I supposed to identify a given structure?  Why make anatomy more difficult than necessary, it was not like people were doing well in that course to begin with.  Furthermore, surgeons dont operate on patients missing major sections of every organ- they have the entire organ system to work with and help them identify structures.   Simply put, I felt the anatomy exam was unfairly designed."
,,
,,
,"I felt the questions on the examine were unfairly difficult.  We had one two-hour session on EKGs, the day before the test, where we applied knowledge that was not learned in class.  I dont think we were given nearly enough information or time to develop the knowledge base necessary to analyze an abnormal EKG and determine the cause of that abnormal appearance.  I really feel those questions were unfair.",
,,
,,
,,
,,
"He knew his material really well.","Sometimes it felt like he assumed that we had prior knowledge on topics, which made following the lecture a bit difficult at times. Maybe, some basic foreground knowledge explanation would be nice. One other suggestion would be that when going over the slides at a later date it can be hard to follow the lecture when the mouse isnt used and the pin pointer is used instead, because we then have to go  based on memory of what he was pointing at.",
,,"the word list for the anatomy practical seemed particularly confusing for this test. Fortunately, I was able to work around it as I studied the anatomy hive word list. I am wondering if in the future in anatomy, if the list of objective that we get to study from could be the same as the anatomy hive list? I understand that objectives are grouped by location (compartment, cavity, etc), but the words (ie the first letters) could maybe be the same? That way, we would know how to look up terms in the anatomy hive without needing to study the word list."
"wonderful small group leader, thank you!",,
,,
,,"The material:  It is interesting, I enjoy learning about it.<br>The Exam: <br>-I felt the questions about ECGs were completely unreasonable in that they required a level of knowledge far greater than would could have been acquired during the course of last week.  Moreover, we had one two-hour session on ECGs the day before the test, during which the professor had to alter his teaching plan to cover the fundamentals of reading an EKG because the majority of the class did not feel comfortable reading abnormal ECGs.  Despite this, we were asked the next day during the test to examine an abnormal ECG and identify it cause.  When I encountered those ECG questions on the test Friday, for the first time in medical school I felt completely dumbfounded- I had absolutely no idea where to begin to analyzing the ECG because the fundamental concepts of rate, rhythm, axis were not helpful in identifying the ECG.<br>-I was surprised at how little material about pressure-volume relationship and CO-venous return curves appeared on the exam<br><br>My health:  Its bad- every single week of medical school, I get 0-5 hours of sleep the night before the exam despite putting all of my energies into school during the week.  I dont have time to exercise or have a social life.  The weekend comes around and I am completely exhausted, but I have to study ahead for next week or else I know I wont have any time to sleep the night before the test.  I blame this lifestyle mostly on the curriculum design and partly on my ambitiousness.  The curriculum design is problematic for me because it requires me to attend class all day when I am a poor auditory learner.  I learn best through reading and for that reason I love it when professors post study guides.<br><br>Readings- how can we read ahead or do pre-readings when we are in class all day and have to go home and study what we learned in class?  There is no time to do additional readings when we have to learn what we are taught in class."
,,
"Dr. Nelson is an absolutely fabulous teacher! Her presentation on heart embryology was very clear, easy to follow, and well-organized. I felt very prepared for the embryology questions that were on our exam.",,
,,
,,
,,
,,
,,
,,
,,
,,"So far, I have been extremely impressed by the CARE block. Im very grateful to the block directors for being so thoughtful about how the material and exams are organized. Additionally, the instructors have been much better than previously about coordinating their topics and being aware of what we have and havent studied."
N/A,N/A,
N/A,"I would appreciate better clarification of the details that we should know, esp. in embryology from the more broad processes that we should just be aware of.",
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
"Very to the point.",N/A,
N/A,N/A,
N/A,N/A,
"approachable, enthusiastic. great feedback to our emails we send her with our case representation and questions.","it seems weird to not say the age and sex of the patient at the beginning of the case representation. most attendings seem to want this information.",
"AWESOME enthusiasm.","the heart embryology was difficult and it seemed very complicated. I dont know if theres any way to make it more simple or distilled down to the most important points, if so this would be really helpful.",
,,
,"The lecture seemed a bit sporadic and easily off task. It was difficult to listen to since it didnt seem cohesive. One way to make this better would be to be more repetitive and try to paint a big picture and keep coming back to it.",
,,
"good annunciation","This lecture also seemed sporadic and difficult to listen to. It seemed the lecturer was easily distracted and off topic. Stick to the lecture and whats relevant for what we need to know.",
,,
"wonderful enthusiasm","It was difficult to hear, maybe try to speak a little more clearly.",
,,
"I dont remember this lecturer.",,
,,
,,
,,
"scheduling conflict he wasnt able to lecture.",,
"Great at explaining what was happening with electrical conduction of the heart.",,
,,
,,
,,
,,
,"This lecture was rather confusing to me. It would have been nice to have a little bit more of a step by step approach to how ECGs work and how to read them.",
,,
,,
,,
,,
"The playdoh bit was very well done, Dr. Nelsen. Kudos!  That was literally the best in-class learning bit weve done all year.  But Im also a kinesthetic learner, so Im a bit biased.  Still, I think the strength of this embryology in-class learning bit was that you gave the information we had to use right before you had us do it, so it was more of a reinforcement of what we learned.  Your week 1 was good too, but this one was a lot better because there was so little time between learning the material and then using it in an in-class activity, so there wasnt much time to forget.  Also, thank you for the office hours in the anatomy lab.  Its really helpful to have an instructor there to ask questions too.",,
,,
"I know some of my classmates found it awkward that you were giving the block directors tip during lecture, but I appreciated it.  I also think you did well explaining everything.",,
,,
,,
,"Your lecture was a bit confusing because we didnt have any EKG knowledge previously.  I think it would have been better had your lecture been scheduled after our EKG lab.",
,,
,,
,,
,,
,,
,,
,,
"This was a clear and very helpful review session. I would appreciate a review session like this every week if it would be possible.",,
,,
"I really enjoyed how interactive your lecture was, the play-dough was really helpful.",,
,,
,,
,,
,,
,,"This isnt directly related to this week, but Im having a hard time learning in anatomy, and Im hoping that the situation can be improved. It is really hard to learn anatomy during labs when there are 15 students crowded around a single cadaver, and the same issue arises during faculty tutorial time. This isnt as much an issue for the structures that are easy to identify independently using a Netters app, but for the smaller structures that are hard to identify from a picture, its a real problem because I never end up seeing them and learning them in a cadaver.  (Even the students that have taken anatomy before often cant help teach this, because undergrad anatomy classes often dont go that much into depth.) If theres any way we could get more small group time, or more time focusing on the smaller structures (minor arteries, small nerves, etc.), that would be really helpful. <br><br>Somewhat related to this - in general, there are some structures that pointed out over and over again in anatomy, and there are some structures that are never or almost never shown. I know that there are too many structures to identify them all during a four hour class period, but its demoralizing when these structures arent shown on cadavers and then appear on a test. (For example, I only saw the thoracic cardiac nerves once, and not in our ""official"" anatomy lab - I had to specifically ask an instructor to point them out to me during a faculty lab period in order to see them at all.) I admittedly dont have any good ideas on how to rectify this, since I know there are time and space limitations, but it would be really helpful if there are any ways to address this."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"You did a good job teaching a difficult topic.",,
,,
,,
,,
,"Please move the small group sessions to a larger room, seating was awkward.",
,,
,,
"You did a good job of facilitating the TBL session.",,
,,
,,
"Very clear lecture and thorough slides.",,
,,
,"I would recommend providing your feedback about course layout/schedule/desired changes to the block directors after class rather than during the lecture as it was a bit distracting.",
,,
,,
,,
,,
,,
"Thanks for the review session! Great synthesis of what we learned this week.",,
,,
,,
,,
"This lecture was clear and the slides were helpful.",,
,,
,,
,,
,"It would have been more helpful for us to have more structure to the lecture.",
,,
,,
,,
"Good slides on a complex subject",,
,,
,,
,,
,,
,,
,,
,,
,,"EKG stuff is very complex. I feel like we were expected to learn all the basics from those modules, but its a lot more helpful to have someone explain things while pointing them out, even if it means some repetition. Repeating complicated concepts isnt a bad thing!"
,,"The second week to this block was very disorganized. Material wasnt presented in the correct order and it seemed there was no communication between instructors. The major issue was how the monday and thursday ECG stuff was presented. The thursday afternoon ecg lab was great because the ER doc knew that we knew nothing. Why wasnt his steps of how to read ECG given to us on Monday? Mondays ECG lecture left me more confused than anything. I was very confused on how to organize my study time this week when there was so much material to cover. The fetal lecture contained lots of information and should have been split over two weeks. Please look at how material is being presented and how much. Basic concepts could be presented though required YouTube videos before class. Youtube videos on the frank starling curve are great!!"
"Lots of material was presented and it was presented well.",N/a,
,,
"One of the best lectures so far this block. Was aware that students dont understand concepts right away and that we need explanations in different ways. Top 5 instructors at OHSU.","Give more lectures.",
,,
"Knew the material well.","More time explaining the fundamental concepts of the lecture thoroughly please.I understand that questions need to be answered, but the material needs to be explained first at a basic level before there is time to answer answer advance questions, which are not relevant to the fundamentals of the lecture. Thus I felt that we rushed the lecture at points and I had trouble fully grasping the basic concepts. More time explaining the concepts thoroughly please. Otherwise it was a good session.",
"He knows his stuff.","I was really confused at what the objective of this lecture was and assumed that we need to know everything. Things should have bee presented at the most basic level because this was our first exposure to ECGs. Also it was the first exposure to how myocardial cells depolarize and how autonomicity works. Thus most of the lecture was mostly over our heads. Maybe some youtube videos should be required before lecture to get the fundamentals down, or there needs to be a revision of when this lecture is presented in relation to the other material.","The second week to this block was very disorganized. Material wasnt presented in the correct order and it seemed there was no communication between instructors. The major issue was how the monday and thursday ECG stuff was presented. The thursday afternoon ecg lab was great because the ER doc knew that we knew nothing. Why wasnt his steps of how to read ECG given to us on Monday? Mondays ECG lecture left me more confused than anything. I was very confused on how to organize my study time this week when there was so much material to cover. The fetal lecture contained lots of information and should have been split over two weeks. Please look at how material is being presented and how much. Basic concepts could be presented though required YouTube videos before class. Youtube videos on the frank starling curve are great!!"
"Pictures and diagrams","Please provide more written explanations for each disorder. Just having pictures does not help for each congenital disorder.",
,,
,,
,,
"Always fantastic lectures! I love how organized and thorough Dr. Nelsen is.",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"Dr. Jones didnt make it to this session. Instead, a resident who was sleep deprived, taught the course. Everything actually worked out fine, though.",
,,
,"I feel like the EKG could have been presented in a way that would have made it a lot easier.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Compassionate and motivating.","Provide automatic feedback for the problem representation. I should not have to email to request it, i feel that it is part of the responsibilities of the instructors to provide such feedback.",
,,
,,
"One of the best lectures given this year. Explained hard conceptual subjects in a sufficient manner, while providing adequate time for feedback and questions. Made us motivated to learn the subject he was teaching. An advocate  for education and the students, awesome person.",,"Listen to his recommendations."
,,
,,
,,
,,
,,
,,
,,
"Although she tests the details she covers, she does a good job of explaining to us they are important details.","Please continue to give her &gt;1 hour blocks as it seems rushed when she has less time.",
,,
"Very intelligent lecturer who was able to break down what we need.","He gets pulled down many irrelevant paths when my classmates ask unrelated questions.",
,"If the instructor for a session does not show up, I think its fair to consider not using their questions on the exam.",
"Very intelligent and had a great plan to teach us the material, but was distracted by unrelated questions.","The session was split into two sections, unfortunately because of unrelated questions he took a very long time to complete the first half and then had to double speed the second half.","It would be helpful it instructors had training on how to defer irrelevant questions by inviting them after the class is over."
"Seemed very dedicated to teaching us the basics and I appreciate that, especially with such a complex topic.",,
"Perfect lecture. Came, talked, left. Nothing fancy, but just got us the material we needed. Would love if all lectures were like this.",,
"Very helpful as always.",,
,,
,,
"Very knowledgeable and amazing when it comes to pro-sections.","Her lectures are a little scattered. Hard to zero in on the important points without a clinical setting?",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,"Please communicate to the other staff what we are expected to know. The physician who was teaching us did not know the depth we needed to know the material for the test, which was not great for us."
,,
,,
,,
,,
,,
"She really knows the material",,
"Really knowledgable about the subject","Please, please rectify the anatomy hive list. I missed three anatomy questions on the practical simply because I could not find the correct term. The hive list should be the same as the objective list.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Very good at explaining concepts.",,
,,
,,
,,
,,
,,
,,
,,
"She led an awesome review!",,
,,
"Awesome lecture! I would not change anything!",,
,,
,,
,,
"The quick review before we started was very helpful. The modules that I did before the interactive learning session were also extremely helpful.",,
,,
,,
"I thought the order in which the material was presented and organized well very helpful in my understanding of the material.",,
,,
,,
n/a,n/a,n/a
n/a,n/a,"instructor needs more time to fully present material"
n/a,n/a,n/a
"provided good study guide material",n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,"needs more organization in slide presentation",n/a
n/a,n/a,n/a
n/a,n/a,n/a
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"I really liked how you tied in embryology slides from our previous lectures and gave us a bit of background and review before jumping into the new material. The youtube videos were also very helpful.",,
,,
"Great lecture. Thank you for taking the time to review additional topics that were not covered in your lecture. The study guide was fantastic! Well organized with clear explanations.",,
,,
,,
"Lecture was well organized. It helped to go over the basics before jumping into the more detailed aspects of the ECG. Great lecture.",,
"The lecture was well organized but I felt like the slides were a bit too concise. It would have helped to have more information/bullet points for each disorder.",,
"Great TBL questions! Sparked a good discussion in my group.",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Shes a rockstar and Im happy to see that people are helping her write the iRAT/gRAT questions.",,
"She took a very complex topic of heart embryology and made it clinically relevant. She finished the lecture, which was impressive, given the amount of time we had to use Play-Doh.","I personally didnt find that working with the Play-Doh in class was helpful, but I can see how it would be for some people.",
,"I have no idea who this is...",
"Very solid understanding of the material.","Slightly condescending when asking questions and was not apt to answer questions that related to ""next weeks material."" Criticizing our new curriculum during lecture is about the worst thing for morale, even though I agreed with his comments.",
"I love this man as a teacher, but he didnt teach us this week aside from providing the modules, which were awesome.","I think more than one person at the EKG session would have been fantastic.",
"Again, no idea who this is.",,
"He seemed to be passionate about his work.","Speed up the pace of the lecture, focus on simple concepts first instead of talking about the advanced physics of electrophysiology and promptly telling us we dont need to know it. There is not much room for that after a long day of lectures on Monday afternoon. I also still really want to know why there are peaked T waves in hyperkalemia and he didnt know the answer to the question. Follow-up emails are awesome.","Again, dont criticize the lecture hall or new curriculum in lecture. It undermines the point of going to class and/or OHSU School of Medicine."
"He nailed this lecture. Great balance of information on the slides and very straight-forward information.",None.,
"What else is there to say about Dr. Gorman? Hes a nice guy, passionate about teaching.",,
"Did not attend the review.",,
,,
"Dr. Nelson does a phenomenal job of laying out the expectations clearly and being available to students. Anatomy is possibly my weakest subject and I attribute my doing well on this last test solely to Dr. Nelson taking the time to be in the lab after hours and let me ask her a million questions while digging around in the cadavers. She goes above and beyond for us and I am extremely grateful.",,
,,
,,"Dr. Giraud spent quite a bit of time talking about the ways in which our curriculum is backwards and not enough time lecturing on the material. Definitely had to self-teach this section."
,,
,,
,,
,,
,,
,,
"Positivity and encouragement.",,
"Wonderful at explaining and teaching anatomy in a easy to understand way. The prep work for heart embryology was really helpful too!",,
,,
"Wonderful study guides.",,
"The ECG tutorials were amazing and super helpful!",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"I appreciated the ECG modules that helped create a base foundation and system for reading ECGs.",,
,,
,,
,,
,,
,,
,,
,,
,,
,"I liked his presentation, except I think would be beneficial not to keep mentioning what you should do for next years class. It makes us wonder what we are missing out on in this years class.",
,,
,,
,,"I think that this could have been explained much more simply and probably with a required youtube video for us to watch ahead of time to have a better background on ECGs. The lecture was all over the place and a lot of things were not explained very clearly. I think more diagrams would be important and more ECG examples. A lot of his questions on the quiz were based on things that were in the end of his lecture, but he glossed over these topics."
,"This lecture didnt have a lot of body to it. I think it would be really helpful to have a summary chart at the end that compares and contrasts the congenital heart disorders.",
,,
,,
,,
,,
,,
,,
,,
,,
"He was very knowledgable and provided lots of good informatin in his power points.","I think the lecture could have gone more smoothly if things were explained in a super simplistic manner first, starting with the very basics. I was very confused by this lecture even though I did the pre-work, and it wasnt until the labs later in the week that I was able to make sense of it. I would also like to respectfully suggest lecturing a little more clearly and slowly, there were times that I could not follow what was said.","For the future, We should have the material presented to us in the SSL labs related to ECG first, because they were more basic and the ECG lecture was very dense and overwhelming specially for those of us who have no previous knowledge of it."
,,
,,
,,
"Thank you for the responses to our problem representations each week.",,
"Thank you to Dr. Nelsen for always being there to help us in lab.",,
"The cardiac cycle lecture was very helpful for me in assimilating all of the concepts we have learned so far.",,
"Good lecture and I really appreciate the study guide, as it is an amazing resource for anyone who feels they need to read more to understand the concepts.",,
,,
"Cardiac cycle lecture was very helpful and reinforcing thank you.",,
,,
"The basic introduction of EKGs using vectors.","I feel like the lectures did not cover the conceptual objectives as well as they could have.",
,,
"The slides needed more information on them. We breezed through this lecture and I feel like it could be great to expand on, especially after the fetal heart lecture. Please give all pertinent clinical and epidemiological information in slides about each congenital heart disease as well as common lab findings, symptoms, etc so we can reference them to study after as well. Also, simple images (even graphics) would be helpful to visualize where these heart defects are located.",,
,,
,,
,,
,,
,,
"The slides are concise, well-annotated, and flow nicely.","Ive noticed over the course of Dr. Girauds lecture that he typically interrupts students when theyre asking questions, particularly when he believes he understands what students are asking before they state their actual question; additionally, Dr. Girauds body language and affect when students ask questions seems to de-legitimize students who do ask questions (even when germane to the topic and not covered further into the lecture). Please consider allowing students to complete their thought and then respond. Because many of us are learning the material for the first time, we might not have the correct understanding -- this is why many of us ask questions. Many instructors try to put themselves in our shoes when students ask questions and say, ""thats a great question,"" even when sometimes the questions are not great questions. I think many instructors realize how stressful it can be to ask a question in front of 100+ of your incredibly competent classmates and friends and want to not appear ""silly or stupid."" Encouraging students to ask questions and supporting them when they do would go a long way to helping Dr. Girauds sessions be more effective and be less hostile.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"I really enjoyed the embryology lectures!",,
,,
,,
,,
,,
,,
,,
,,
,,
,"The final exercises still seem rushed. It is most helpful to see an exemplar problem representation than hearing our classmates share theirs for critique.",
"Interesting subject and Dr. Nelson was very organized and methodical. Despite complicated material she was very clear.",,
,,
,,
,"Dr. Jones was not able to lecture to us about ECGs on Thursday but the attending that took his place was really fantastic. Very clear, gave us the foundations before diving into reading ECGs, and was careful about not overwhelming us with details and caveats.",
,,
,,
,,
,"This was a very confusing lecture. I had to spend many hours figuring out the lessons in this lecture and spent a lot of time with my housemate researching how to read an ECG. Then I read the objectives and found that the majority of his lecture did not have anything to do with the objectives. So I also spent a lot of time researching the objective making sure I understood those as well.",
"Very organized. Started with the concepts and commonalities before giving details and differentiating between congenital heart defects",,
,,
,,
,,
"I liked that Dr. Nelsen incorporated clicker questions and few activities throughout the lecture. They helped clarify some things.","It would have been great to get a study guide document that streamlined the embryology process for further clarification.",
"I really enjoyed having Dr. Camacho as a science skills instructor. He was engaging, he broke down and went through the lecture components thoroughly, and made sure we understood the information well.",,
"The study guide was helpful.","I would suggest reorganizing the lecture so that it does not seem as rushed.",
,,
,,
,,
,,
,,
,,
,,
"Just the best. Ever.",,
"Comfortable speaker. Well paced. Very knowledgeable.",,
,,
,,
,,
"Clear speaker. Stopped and asked what we knew, then filled in the gaps. That was really helpful.","PLEASE PLEASE PLEASE no color background on slides. It is absolutely the worst when you take notes on printouts.",
,,
,,
"Love your lecturing style.  The repetition of important points and the comparison tables are great.  Thank you so much!",,
"Best analogies ever.  The crazy party analogy and the bad relationship analogies were brilliant.  Also, youre incredibly fun to listen too.","I personally just dont like Comic Sans as a font, so I advise you to not use it or Papyrus.",
"I liked the pictures and the images.  They were helpful in visualizing everything.  Youre also a good speaker, so that helped.",,
,"Please answer our questions.",
"You covered everything you needed to cover in an order that made sense and to the right level of detail.  You also had such a small amount time, so the fact you could do it was impressive.  Thanks so much!",,
,,
,,
"Enjoyed the TBL session discussions.",N/A,
"I really liked the color-coded diagrams in the slides and the interactive learning with Play Doh.",None,
,,
"Like the list format.","Better background coverage of basic topics. Clinical relevance, such as calcium channel blockers and specific MOA.","This instructor didnt know what the class had or had not covered (e.g. The class didnt go over Frank-Starling curve yet - the instructor seemed somewhat upset with the block directors for this). The instructor thought he was scheduled for 2 hours - was actually scheduled for 3."
"Dr. David Diller did an EXCELLENT introduction and systematic approach to reading EKGs, which I personally felt was more effective than diving into deep EKG material like Monday lecture with Dr. Stecker.",None,"Considering the importance of EKGs in medical practice, I think its important to introduce the basic topics first and then start increasing complexity and introducing more examples."
,,
,,
,,
,,
,,
,,
"Lots of diagrams and pictures as well as good categorical explanation of concepts.","The slides did not really cover much of the pathophysiology or mechanisms of some of the illnesses in great detail. Gave more of a general overview.",
"Good introduction into the concept of biases. I liked the introduction to IAT bias tests.",None.,
,,
,"Please update your slides to the new format.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Dr. Giraud was excellent explaining concepts, clearly a very knowledgeable instructor who cares about his students learning. Putting more information on the powerpoint slides could help round out Dr. Girauds lecture.",,
,,
,,
,,"It was a little unclear how the content of this lecture matched up with the objective list for this lecture. There were clearly some specific concepts that we were supposed to learn in this lecture, to understand subsequent lecture material, that we were not exposed to (i.e. cardiac muscle and cardiac muscle contraction). Hopefully this will get ironed out next year by block directors."
,,
,,
,,
"Helpful intro to the week!",,
"Relevant and straightforward.","More clicker questions! Have us check our understanding as often as possible with this complicated material.",
,,
,,
,,
,,
"Interesting and relevent material. Great introduction of chemical-electricle coupling.","I recommend starting with the basics! This lecture was way over our heads. We knew nothing about cardiac function and physiology aat this point and you jumped right into pathology indicated on EKGs - start from the basic, teach us about normal and leave the pathology for later!",
"Really great intro to congenital heart disease",,
,,
,,
"Dr. Buell was prepared with slides and answered questions well.","The time allocated to this lecture was not organized well. The whole lecture was slowed down by answering students questions and as a result, stuff was way too rushed at the end. Also, the second lecture seemed to be unnecessarily detailed and a lot of these studies, while important, could have been summed up with a few concise statements taking 15 minutes rather than an hour.",
,,
"Dr. Davies was a pleasure to have in class. He spoke at a great pace and covered all the material needed while answering questions and finishing on time--which was great!",,
,,
,,
"Dr. Grauers slides were informative and organized.",,
,,
,,
,"Please dont use the whiteboard for drawings- the overhead, once projected on the screens, will record so those of us at home or re-watching lecture can see it.",
,"Please include all slides in the presentation, and distribute slides with a white background. They are uploaded to Sakai as a pdf, so we cant change the background.",
,,
,,
,,
,,
,,
,,
,"This lecturers repeatedly presented information in direct contradiction to Dr. Davies prior lecture. He started his lecture by disclosing a number of financial disclosures with pharmaceutical companies but dismissed them as irrelevant to his presentation to material. Unfortunately, he seemed to dismiss side effects of medications which have been presented by other faculty and hyper-inflate the results of studies by using relative risk ratios (which seemed huge!), when absolute risk reductions were &lt;1%. The data he presented was biased, inflated, and grossly untrue. This lecture should be specifically addressed by block directors because fellow students without significant epidemiological training are confused about conflicting information and may be led down the wrong path by this ""expert.""",
"Best pharmacology lecturer. Please bring him back for every future pharmacology lecture. His evidence based and to-the-point approach is so appreciated. Thanks Ali!",,
,,
,,
,"The lecture had little obvious organization which made it very hard to follow. He went on many tangents that were so far beyond our understanding that they really detracted from the lecture and made everything confusing. He also openly chastised a student for asking a really relevant question that no one understood. He refused to answer the question and instead spent the time on a short rant about how we need to figure things out for ourselves. This demonstrated a surprisingly negative attitude towards students and was ironic considering the time spent on tangents that were beyond the scope of the course.",
,,"Please instruct lecturers to use powerpoint slides with a white background only. Many this week used a dark blue that is really difficult to take notes on."
,"This instructor used unoriginal slides (created by someone else), didnt sufficiently explain them, and went at a rate which was too fast.",
,,
"This was a relevant TBL. Great job explaining.",N/A,N/A
N/A,"Wouldve helped to have more prep work from embryology. It was a confusing topic. We also ran out of time during the lecture.",
"Very helpful in the small group session. Thoughtful and explained things well.",N/A,
"Good lecturer and he came prepared.","He could have omitted some information from his presentation.",
"Very organized and concise lecture.",N/A,
"Very organized and concise.",N/A,
"He gave a clear lecture.","He could have spent more time giving his content.",
"Organized content.",N/A,
"He is organized and thoughtful.","The session on bias was not very tasteful. The articles that were used for prepwork werent very politically correct.",
"I dont remember who this is.","I am not sure who this is.",
,,
"Enjoyed the playdough demonstration. Appreciated the pictures on the slide. Embryology needs active visual learning.","3 hours  of lecture is quite long",
,,
"Really appreciated the study guide. I was able to go back to the study guide and clarify areas that I was confused with.",,
,,
,"Dr. Mudd spoke to us as if we were residents. Used terminology that we did not understand and did not explain to use beforehand.",
,,"Was confused throughout his lecture. Terminology was not explained well. Need better demonstration of EKG, instead of lecturing maybe a more visual and active approach."
"Clear and pace was great","Powerpoints need more information. Was not able to go to powerpoint and get a summary of his lecture. Need to speak louder.",
,,
,,
,"Please distribute your powerpoints on white backgrounds. I know it can seem boring, but we have to take notes on these slides and it is much easier to see when on a light background. Thanks so much!",
,,
"I liked the uninvited guests for describing the vessel pathology!",,
,,
,,
,"Too much information and too many slides in too little time. Instructor never left podium and basically read slides to us. He taught material that was way beyond our minimal understanding of EKGs.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Lots of data","Data was presented in a biased and misleading format. For example, fish oil benefits were presented using relative risk values when the absolute risk values demonstrated minimal benefit. Furthermore, much of this data was in stark contrast to what a previous lecturer had said earlier in the day and what another lecturer said later in the week. Also, some sort of questions would help facilitate understanding.","How are we supposed to interpret different lecturers saying the exact opposite thing? It seems either that they did not communicate or that they were unaware of the others presentation."
"-Tables were excellent<br>-Pathway figures were also easy to follow<br>-I REALLY REALLY appreciate the mentioning of costs because I think that is something that will be highly relevant but is often overlooked","Hard to critique and I know that there is a lot of content, but is there any chance that we could have some questions scattered in the lecture to make sure we understood concepts?",
"-Good analogies to help remember processes<br>-Entertaining lecturer which made the process more engaging","-Difference between embolism of platelets and thrombosis of thrombin is still confusing and Im not quite sure the impact of that",
"-broke down concepts to the basics before building upon them<br>-powerpoint was easy to follow<br>-pacing during lecture was perfect (very hard to do)","-maybe emphasize a little more on take home points. The lecture was easy to follow, but when it comes to devices, I really dont know what is relevant from my perspective and what is just extra information.",
"-knowledgeable<br>-insightful study guide","I have never seen an instructor so callously reject a students question before. It was a nuanced and thoughtful question too that was not covered but was important to facilitating comprehension. And I am still wondering the answer to it--how two drugs with seemingly opposing effects (prolonging AP duration and shortening it) can have the exact same effect on fixing arrhythmia. I understand not being able to answer questions due to a lack of time, but to dismiss them as basic and citing that ""you dont want to be paternalistic"" is demeaning to us as students.",
"-One of the most organized presentations that we have seen. I am completely earnest when I say Dr. Grauer should teach other instructors how to create powerpoints.<br>","no, everything was awesome!",
,"Do not just read the info from the slides. I can do that myself. Please slow down while talking as it seemed like everything was rushed even though we had 20 minutes left over when we finished.",
,,
"Dr. Bowen is the kindest and most caring professor that I have ever encountered.  She provides timely and constructive feedback.",,
"Dr. Nelsen genuinely cares about our overall understanding and works hard to enhance our learning atmosphere.",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Willing to answer questions. Prepared and knowledgeable.","Showing us the website was not helpful. It in fact was confusing. Doing and explaining the practice questions is the best way to learn so skipping them all serves no point. Study guide was a good idea, but it was so minimal that nothing was explained.","Listing off a series of abnormalities in heart conduction and then expecting us to know/internalize them is unrealistic. This is not a good way to learn the concepts of an EKG."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
